img_path,species,origin,pet_id,img_id,num_images
pets_rs_imgs/desaparecido/cao/148.png,cao,desaparecido,148,1,2
pets_rs_imgs/desaparecido/cao/148_2.png,cao,desaparecido,148,2,2
pets_rs_imgs/desaparecido/cao/225.png,cao,desaparecido,225,1,2
pets_rs_imgs/desaparecido/cao/225_2.png,cao,desaparecido,225,2,2
pets_rs_imgs/desaparecido/cao/321.png,cao,desaparecido,321,1,2
pets_rs_imgs/desaparecido/cao/321_2.png,cao,desaparecido,321,2,2
pets_rs_imgs/desaparecido/cao/325.png,cao,desaparecido,325,1,2
pets_rs_imgs/desaparecido/cao/325_2.png,cao,desaparecido,325,2,2
pets_rs_imgs/desaparecido/cao/331.png,cao,desaparecido,331,1,2
pets_rs_imgs/desaparecido/cao/331_2.png,cao,desaparecido,331,2,2
pets_rs_imgs/desaparecido/cao/335.png,cao,desaparecido,335,1,4
pets_rs_imgs/desaparecido/cao/335_2.png,cao,desaparecido,335,2,4
pets_rs_imgs/desaparecido/cao/335_3.png,cao,desaparecido,335,3,4
pets_rs_imgs/desaparecido/cao/335_4.png,cao,desaparecido,335,4,4
pets_rs_imgs/desaparecido/cao/345.png,cao,desaparecido,345,1,2
pets_rs_imgs/desaparecido/cao/345_2.png,cao,desaparecido,345,2,2
pets_rs_imgs/desaparecido/cao/408.png,cao,desaparecido,408,1,2
pets_rs_imgs/desaparecido/cao/408_2.png,cao,desaparecido,408,2,2
pets_rs_imgs/desaparecido/cao/471.png,cao,desaparecido,471,1,2
pets_rs_imgs/desaparecido/cao/471_2.png,cao,desaparecido,471,2,2
pets_rs_imgs/desaparecido/cao/530.png,cao,desaparecido,530,1,2
pets_rs_imgs/desaparecido/cao/530_2.png,cao,desaparecido,530,2,2
pets_rs_imgs/desaparecido/cao/567.png,cao,desaparecido,567,1,2
pets_rs_imgs/desaparecido/cao/567_2.png,cao,desaparecido,567,2,2
pets_rs_imgs/desaparecido/cao/592.png,cao,desaparecido,592,1,2
pets_rs_imgs/desaparecido/cao/592_2.png,cao,desaparecido,592,2,2
pets_rs_imgs/desaparecido/cao/712.png,cao,desaparecido,712,1,4
pets_rs_imgs/desaparecido/cao/712_2.png,cao,desaparecido,712,2,4
pets_rs_imgs/desaparecido/cao/712_3.png,cao,desaparecido,712,3,4
pets_rs_imgs/desaparecido/cao/712_4.png,cao,desaparecido,712,4,4
pets_rs_imgs/desaparecido/cao/733.png,cao,desaparecido,733,1,2
pets_rs_imgs/desaparecido/cao/733_2.png,cao,desaparecido,733,2,2
pets_rs_imgs/desaparecido/cao/746.png,cao,desaparecido,746,1,3
pets_rs_imgs/desaparecido/cao/746_2.png,cao,desaparecido,746,2,3
pets_rs_imgs/desaparecido/cao/746_3.png,cao,desaparecido,746,3,3
pets_rs_imgs/desaparecido/cao/748.png,cao,desaparecido,748,1,2
pets_rs_imgs/desaparecido/cao/748_2.png,cao,desaparecido,748,2,2
pets_rs_imgs/desaparecido/cao/759.png,cao,desaparecido,759,1,2
pets_rs_imgs/desaparecido/cao/759_2.png,cao,desaparecido,759,2,2
pets_rs_imgs/desaparecido/cao/777.png,cao,desaparecido,777,1,3
pets_rs_imgs/desaparecido/cao/777_2.png,cao,desaparecido,777,2,3
pets_rs_imgs/desaparecido/cao/777_3.png,cao,desaparecido,777,3,3
pets_rs_imgs/desaparecido/cao/811.png,cao,desaparecido,811,1,2
pets_rs_imgs/desaparecido/cao/811_2.png,cao,desaparecido,811,2,2
pets_rs_imgs/desaparecido/cao/878.png,cao,desaparecido,878,1,2
pets_rs_imgs/desaparecido/cao/878_2.png,cao,desaparecido,878,2,2
pets_rs_imgs/desaparecido/cao/893.png,cao,desaparecido,893,1,3
pets_rs_imgs/desaparecido/cao/893_2.png,cao,desaparecido,893,2,3
pets_rs_imgs/desaparecido/cao/893_3.png,cao,desaparecido,893,3,3
pets_rs_imgs/desaparecido/cao/911.png,cao,desaparecido,911,1,2
pets_rs_imgs/desaparecido/cao/911_2.png,cao,desaparecido,911,2,2
pets_rs_imgs/desaparecido/cao/913.png,cao,desaparecido,913,1,2
pets_rs_imgs/desaparecido/cao/913_2.png,cao,desaparecido,913,2,2
pets_rs_imgs/desaparecido/cao/922.png,cao,desaparecido,922,1,4
pets_rs_imgs/desaparecido/cao/922_2.png,cao,desaparecido,922,2,4
pets_rs_imgs/desaparecido/cao/922_3.png,cao,desaparecido,922,3,4
pets_rs_imgs/desaparecido/cao/922_4.png,cao,desaparecido,922,4,4
pets_rs_imgs/desaparecido/cao/925.png,cao,desaparecido,925,1,3
pets_rs_imgs/desaparecido/cao/925_2.png,cao,desaparecido,925,2,3
pets_rs_imgs/desaparecido/cao/925_3.png,cao,desaparecido,925,3,3
pets_rs_imgs/desaparecido/cao/931.png,cao,desaparecido,931,1,2
pets_rs_imgs/desaparecido/cao/931_2.png,cao,desaparecido,931,2,2
pets_rs_imgs/desaparecido/cao/940.png,cao,desaparecido,940,1,2
pets_rs_imgs/desaparecido/cao/940_2.png,cao,desaparecido,940,2,2
pets_rs_imgs/desaparecido/cao/950.png,cao,desaparecido,950,1,2
pets_rs_imgs/desaparecido/cao/950_2.png,cao,desaparecido,950,2,2
pets_rs_imgs/desaparecido/cao/957.png,cao,desaparecido,957,1,3
pets_rs_imgs/desaparecido/cao/957_2.png,cao,desaparecido,957,2,3
