img_path,species,origin,pet_id,img_id,single_image
pets_rs_imgs/desaparecido/cao/4.png,cao,desaparecido,4,1,True
pets_rs_imgs/desaparecido/cao/5.png,cao,desaparecido,5,1,True
pets_rs_imgs/desaparecido/cao/9.png,cao,desaparecido,9,1,True
pets_rs_imgs/desaparecido/cao/10.png,cao,desaparecido,10,1,True
pets_rs_imgs/desaparecido/cao/13.png,cao,desaparecido,13,1,True
pets_rs_imgs/desaparecido/cao/15.png,cao,desaparecido,15,1,True
pets_rs_imgs/desaparecido/cao/24.png,cao,desaparecido,24,1,True
pets_rs_imgs/desaparecido/cao/29.png,cao,desaparecido,29,1,True
pets_rs_imgs/desaparecido/cao/30.png,cao,desaparecido,30,1,True
pets_rs_imgs/desaparecido/cao/33.png,cao,desaparecido,33,1,True
pets_rs_imgs/desaparecido/cao/35.png,cao,desaparecido,35,1,True
pets_rs_imgs/desaparecido/cao/41.png,cao,desaparecido,41,1,True
pets_rs_imgs/desaparecido/cao/42.png,cao,desaparecido,42,1,True
pets_rs_imgs/desaparecido/cao/50.png,cao,desaparecido,50,1,True
pets_rs_imgs/desaparecido/cao/51.png,cao,desaparecido,51,1,True
pets_rs_imgs/desaparecido/cao/55.png,cao,desaparecido,55,1,True
pets_rs_imgs/desaparecido/cao/57.png,cao,desaparecido,57,1,True
pets_rs_imgs/desaparecido/cao/59.png,cao,desaparecido,59,1,True
pets_rs_imgs/desaparecido/cao/64.png,cao,desaparecido,64,1,True
pets_rs_imgs/desaparecido/cao/65.png,cao,desaparecido,65,1,True
pets_rs_imgs/desaparecido/cao/69.png,cao,desaparecido,69,1,True
pets_rs_imgs/desaparecido/cao/72.png,cao,desaparecido,72,1,True
pets_rs_imgs/desaparecido/cao/73.png,cao,desaparecido,73,1,True
pets_rs_imgs/desaparecido/cao/75.png,cao,desaparecido,75,1,True
pets_rs_imgs/desaparecido/cao/79.png,cao,desaparecido,79,1,True
pets_rs_imgs/desaparecido/cao/86.png,cao,desaparecido,86,1,True
pets_rs_imgs/desaparecido/cao/87.png,cao,desaparecido,87,1,True
pets_rs_imgs/desaparecido/cao/90.png,cao,desaparecido,90,1,True
pets_rs_imgs/desaparecido/cao/91.png,cao,desaparecido,91,1,True
pets_rs_imgs/desaparecido/cao/107.png,cao,desaparecido,107,1,True
pets_rs_imgs/desaparecido/cao/117.png,cao,desaparecido,117,1,True
pets_rs_imgs/desaparecido/cao/136.png,cao,desaparecido,136,1,True
pets_rs_imgs/desaparecido/cao/137.png,cao,desaparecido,137,1,True
pets_rs_imgs/desaparecido/cao/147.png,cao,desaparecido,147,1,True
pets_rs_imgs/desaparecido/cao/148.png,cao,desaparecido,148,1,False
pets_rs_imgs/desaparecido/cao/148_2.png,cao,desaparecido,148,2,False
pets_rs_imgs/desaparecido/cao/175.png,cao,desaparecido,175,1,True
pets_rs_imgs/desaparecido/cao/181.png,cao,desaparecido,181,1,True
